Traicao,Traidor,CasaTraidor,Vitima,Relac_Traidor-Vitima,CasaVitima,ConsequenciaImediata,Local,Obs
Sansa mente sobre a morte de Lysa (Por Mindinho),Sansa,Stark,Lysa Arryn,Sobrinha,Arryn,,In the Vale,
Jaime Lannister liberta Tyrion,Jaime,Lannister,Cersei,Irmã/Amante,Lannister,,,
Jaime Lannister liberta Tyrion - Varys ajuda na fuga,Varys,X,Cersei,Aliado(a),Lannister,,,
Tywin trai o próprio filho (de várias formas),Tywin,Lannister,Tyrion,Pai,Lannister,,,
Tyrion mata o pai,Tyrion,Lannister,Tywin,Filho,Lannister,Tyrion escapa com Varys,7 Kingdoms,
Cersei 'renova' sua fé,Cersei,Lannister,Olenna Tyrell,Aliado(a),Tyrell,,,
Alto Pardal faz Cersei de prisioneira,Alto Pardal,Militante da Fé,Cersei,Aliado(a),Lannister,,,
Tyrion se junta a Daenerys,Tyrion,Lannister,Cersei,Irmão,Lannister,,Across the Narrow Sea,
Stannis sacrifica a filha,Stannis Baratheon,Baratheon,Shireen Baratheon,Pai,Baratheon,Perda da batalha,Winterfell,
Theon ajuda Sansa,Theon,Greyjoy,Ramsay Bolton,Chefe,Bolton,?,Winterfell,
Ellaria mata (envenena) Myrcella,Ellaria,Martell,Myrcella,Aliado(a),Lannister,,,
Varys leva Tyrion até Daenarys,Varys,X,Cersei,Aliado(a),Lannister,,,
Abandona Stannis,Melisandre,Baratheon,Stannis Baratheon,Aliado(a),Baratheon,,,
